2026-08-21 22:34:27.707 | INFO     | __main__:main:259 - healer: starting (once=False interval=60s)
C:\Users\saini\.minimax-agent\projects\kotak-neo-bot\kotak_healer.py:220: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  "last_check": datetime.utcnow().isoformat() + "Z",
2026-08-21 23:18:21.033 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:19:23.565 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:20:26.168 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:21:28.561 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:22:31.011 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:23:33.376 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:24:35.779 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:25:38.252 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:26:40.748 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:27:43.270 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:28:45.706 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:29:48.181 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:30:50.614 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:31:53.107 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:32:55.495 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:33:57.920 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:35:00.313 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:36:02.796 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:37:05.195 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:38:07.565 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:39:10.293 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:40:13.054 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:41:15.641 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:42:18.103 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:43:20.707 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:44:23.112 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:45:25.863 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:46:28.566 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:47:31.058 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:48:33.535 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:49:35.971 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:50:38.658 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:51:41.114 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:52:43.602 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:53:46.075 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:54:48.550 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:55:51.111 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:56:53.584 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
2026-08-21 23:57:56.068 | INFO     | __main__:check_once:242 - healer: market=False proc=True(pids=[8252, 13748]) dash=True log_fresh=True -> OK
