2026-08-22 09:34:13.667 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 09:50:09.661 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 09:50:10.711 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 09:50:10.714 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=10:05:10
2026-08-22 09:50:10.715 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 10:06:06.029 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 10:06:07.001 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 10:06:07.004 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=10:21:07
2026-08-22 10:06:07.004 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 10:22:02.237 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 10:22:03.280 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 10:22:03.283 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=10:37:03
2026-08-22 10:22:03.284 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 10:37:59.862 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 10:38:00.810 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 10:38:00.813 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=10:53:00
2026-08-22 10:38:00.815 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 10:53:56.903 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 10:53:57.912 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 10:53:57.916 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=11:08:57
2026-08-22 10:53:57.917 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 11:09:53.434 | INFO     | __main__:main:636 - brain: starting (once=True)
2026-08-22 11:09:54.434 | INFO     | __main__:evaluate_once:353 - brain: hit daily cap (12); using fallback
2026-08-22 11:09:54.437 | INFO     | __main__:evaluate_once:381 - brain: bias=neutral conf=0.30 risk=20% max_pos=2 source=fallback next=11:24:54
2026-08-22 11:09:54.438 | INFO     | __main__:main:639 - brain: --once complete
2026-08-22 11:25:49.992 | INFO     | __main__:main:636 - brain: starting (once=True)
